InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,PrimaryPositionPlayer,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Joe Sullivan,0,5,208,14,43,3,0,0,15,1,0.207,0.221,0,46,0,1941,sullijo05
FALSE,FALSE,Doug Camilli,1,9,767,56,153,22,4,18,80,0,0.199,0.309,0,237,0,1969,camildo02
FALSE,FALSE,Dayan Diaz,0,2,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2017,diazda01
FALSE,FALSE,Jack Harshman,0,10,424,46,76,7,0,21,65,0,0.179,0.344,0,146,0,1960,harshja01
FALSE,FALSE,Kyle Hart,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2020,hartky01
FALSE,FALSE,Frank Kalin,1,2,7,0,0,0,0,0,1,0,0.000,0.000,0,0,0,1943,kalinfr01
FALSE,FALSE,Welday Walker,1,1,18,1,4,1,0,0,2,0,0.222,0.278,0,5,0,1884,walkewe01
FALSE,FALSE,Angel Felipe,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2023,felipan01
FALSE,FALSE,Joe Hague,1,6,1195,141,286,41,10,40,163,4,0.239,0.391,0,467,0,1973,haguejo01
FALSE,FALSE,John Lannan,0,8,247,8,26,5,0,1,11,0,0.105,0.138,0,34,0,2014,lannajo01
FALSE,FALSE,Turk Lown,0,11,214,13,35,4,2,1,10,0,0.164,0.215,0,46,0,1962,lowntu01
FALSE,TRUE,John Olerud,1,17,7592,1139,2239,500,13,255,1230,11,0.295,0.465,2,3530,11,2005,olerujo01
FALSE,FALSE,Duke Shirey,0,1,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1920,shiredu01
FALSE,FALSE,Mike Smith,1,1,7,0,1,0,0,0,0,0,0.143,0.143,0,1,0,1926,smithmi01
FALSE,FALSE,Don Songer,0,4,53,4,7,0,1,0,2,0,0.132,0.170,0,9,0,1927,songedo01
FALSE,FALSE,Stephen Cardullo,1,2,84,7,16,3,1,2,9,0,0.190,0.321,0,27,0,2017,cardust01
FALSE,FALSE,Matt Ruebel,0,3,20,0,3,0,0,0,0,0,0.150,0.150,0,3,0,1998,ruebema01
FALSE,FALSE,George Stablein,0,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1980,stablge01
FALSE,FALSE,Dave Beadle,1,1,3,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1884,beatlda01
FALSE,FALSE,Alex Gaston,1,6,514,58,112,13,6,3,40,5,0.218,0.284,0,146,0,1929,gastoal01
FALSE,FALSE,Joe Jenkins,1,3,60,0,8,2,1,0,3,3,0.133,0.200,0,12,0,1919,jenkijo01
FALSE,FALSE,Joe Kohlman,0,2,8,0,1,0,0,0,0,0,0.125,0.125,0,1,0,1938,kohlmjo01
FALSE,FALSE,Kevin McCarthy,0,5,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2020,mccarke01
FALSE,FALSE,Otho Nitcholas,0,1,4,2,1,0,0,0,0,0,0.250,0.250,0,1,0,1945,nitchot01
FALSE,FALSE,Jay Clarke,1,9,1536,157,390,64,20,6,127,16,0.254,0.333,0,512,0,1920,clarkni01
FALSE,FALSE,Tom Drohan,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1913,drohato01
FALSE,FALSE,Gil Patterson,0,1,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1977,pattegi01
FALSE,FALSE,Evar Swanson,1,5,1892,325,573,87,28,7,170,69,0.303,0.390,0,737,0,1934,swansev01
FALSE,FALSE,Nick Allen,1,3,699,66,146,21,2,9,43,8,0.209,0.283,0,198,0,2024,allenni02
FALSE,FALSE,Glenn Burke,1,4,523,50,124,18,2,2,38,35,0.237,0.291,0,152,0,1979,burkegl01
FALSE,FALSE,Jim Davenport,1,13,4427,552,1142,177,37,77,456,16,0.258,0.367,1,1624,1,1970,davenji01
FALSE,FALSE,Ed Pabst,1,1,39,8,12,2,1,0,3,3,0.308,0.410,0,16,0,1890,pabsted01
FALSE,TRUE,Placido Polanco,1,16,7214,1009,2142,348,32,104,723,81,0.297,0.397,2,2866,7,2013,polanpl01
FALSE,FALSE,Billy Reid,1,2,167,25,44,5,0,0,0,0,0.263,0.293,0,49,0,1884,reidbi01
FALSE,FALSE,Mike Colbern,1,2,224,16,58,10,2,2,28,0,0.259,0.348,0,78,0,1979,colbemi01
FALSE,FALSE,Carlos Diaz,1,1,3,1,1,0,0,0,0,0,0.333,0.333,0,1,0,1990,diazca02
FALSE,TRUE,Mike Jorgensen,1,17,3421,429,833,132,13,95,426,58,0.243,0.373,0,1276,2,1985,jorgemi01
FALSE,FALSE,Curtis Pride,1,11,796,132,199,39,12,20,82,29,0.250,0.405,0,322,0,2006,pridecu01
FALSE,FALSE,Larry White,0,2,1,0,0,0,0,0,0,0,0.000,0.000,0,0,0,1984,whitela01
FALSE,FALSE,Ike Boone,1,8,1160,177,372,79,11,26,194,3,0.321,0.475,0,551,0,1932,booneik01
FALSE,FALSE,Ezequiel Duran,1,3,882,106,227,43,3,22,91,13,0.257,0.388,0,342,0,2024,duranez01
FALSE,FALSE,Tom Miller,1,2,230,19,43,2,0,0,17,2,0.187,0.196,0,45,0,1875,milleto01
FALSE,FALSE,Buck Weaver,1,9,4809,623,1308,198,69,21,421,172,0.272,0.355,0,1707,2,1920,weavebu01
FALSE,FALSE,Harry Wolfe,1,1,10,1,2,0,0,0,1,0,0.200,0.200,0,2,0,1917,wolfeha01
FALSE,FALSE,Butch Alberts,1,1,18,1,5,1,0,0,0,0,0.278,0.333,0,6,0,1978,alberbu01
FALSE,FALSE,Allen Levrault,0,3,38,1,2,0,0,0,1,0,0.053,0.053,0,2,0,2003,levraal01
FALSE,FALSE,Danny Napoleon,1,2,130,7,21,3,1,0,7,0,0.162,0.200,0,26,0,1966,napolda01
FALSE,FALSE,Lester Oliveros,0,3,0,0,0,0,0,0,0,0,0.000,0.000,0,0,0,2014,olivele01
FALSE,FALSE,Pablo Reyes,1,6,521,72,129,25,2,8,54,13,0.248,0.349,0,182,0,2024,reyespa01
FALSE,FALSE,Kevin Barker,1,5,285,32,71,12,0,6,36,3,0.249,0.354,0,101,0,2009,barkeke01
