InductedToHallOfFame,OnHallOfFameBallot,FullPlayerName,YearsPlayed,AB,R,H,Doubles,Triples,HR,RBI,SB,BattingAverage,SluggingPct,AllStarAppearances,MVPs,TripleCrowns,GoldGloves,MajorLeaguePlayerOfTheYearAwards,TB,TotalPlayerAwards,LastYearPlayed,ID
FALSE,FALSE,Rafael Belliard,17,2301,217,508,55,14,2,142,43,.221,.259,0,0,0,0,0,597,0,1998,bellira01
FALSE,FALSE,Ronnie Belliard,13,5045,685,1377,328,24,114,601,43,.273,.415,1,0,0,0,0,2095,0,2010,belliro01
FALSE,FALSE,Juan Bell,7,836,107,177,30,6,10,71,16,.212,.298,0,0,0,0,0,249,0,1995,bellju01
FALSE,FALSE,Engel Beltre,1,40,7,10,1,0,0,2,1,.250,.275,0,0,0,0,0,11,0,2013,beltren01
TRUE,TRUE,Johnny Bench,17,7658,1091,2048,381,24,389,1376,68,.267,.476,14,2,0,10,1,3644,26,1983,benchjo01
FALSE,FALSE,Bruce Benedict,12,2878,214,696,98,6,18,260,12,.242,.299,2,0,0,0,0,860,0,1989,benedbr01
FALSE,FALSE,Benny Bengough,10,1125,83,287,46,12,0,108,2,.255,.317,0,0,0,0,0,357,0,1932,bengobe01
FALSE,FALSE,Yamil Benitez,4,448,47,109,16,3,19,60,4,.243,.420,0,0,0,0,0,188,0,1998,benitya01
FALSE,FALSE,Charlie Bennett,15,3821,549,978,203,67,55,533,42,.256,.387,0,0,0,0,0,1480,0,1893,bennech01
FALSE,FALSE,Ike Benners,1,211,25,39,11,5,1,0,0,.185,.299,0,0,0,0,0,63,0,1884,benneik01
FALSE,FALSE,Joe Bennett,1,0,0,0,0,0,0,0,0,.000,.000,0,0,0,0,0,0,0,1923,bennejo01
FALSE,FALSE,Vern Benson,5,104,17,21,5,1,3,12,0,.202,.356,0,0,0,0,0,37,0,1953,bensove01
FALSE,FALSE,Todd Benzinger,9,2856,316,733,135,18,66,376,21,.257,.386,0,0,0,0,0,1102,0,1995,benzito01
FALSE,FALSE,James Beresford,1,22,0,5,1,0,0,0,0,.227,.273,0,0,0,0,0,6,0,2016,beresja01
FALSE,FALSE,Dave Berg,7,1600,190,430,91,6,21,163,8,.269,.373,0,0,0,0,0,596,0,2004,bergda01
FALSE,FALSE,Bill Bergen,11,3028,138,516,45,21,2,193,23,.170,.201,0,0,0,0,0,609,0,1911,bergebi01
FALSE,FALSE,Brandon Berger,4,217,28,46,8,2,8,24,2,.212,.378,0,0,0,0,0,82,0,2004,bergebr01
FALSE,FALSE,Clarence Berger,1,13,2,1,0,0,0,0,0,.077,.077,0,0,0,0,0,1,0,1914,bergecl01
FALSE,FALSE,Joe Berger,2,371,38,71,9,3,2,23,7,.191,.248,0,0,0,0,0,92,0,1914,bergejo01
FALSE,TRUE,Marty Bergen,4,1278,180,339,44,15,10,176,24,.265,.347,0,0,0,0,0,443,0,1899,bergema01
FALSE,FALSE,Peter Bergeron,5,1103,171,249,41,13,8,56,31,.226,.308,0,0,0,0,0,340,0,2004,bergepe01
FALSE,FALSE,Dave Bergman,17,2679,312,690,100,16,54,289,19,.258,.367,0,0,0,0,0,984,0,1992,bergmda01
FALSE,FALSE,Frank Berkelbach,1,25,3,6,0,1,0,3,0,.240,.320,0,0,0,0,0,8,0,1884,berkefr01
